Title (English) / Titre (anglais),Title (French) / Titre (français),Organization / Organisation,Record ID / Identificateur du dossier,Date and Time Deleted/ Date et heure de suppression
Survey on Business Adoption of Digital Technologies 2017 ,"Sondage de 2017 sur l’adoption, par les entreprises, des technologies numériques  ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",14a8c4c7-2445-4a49-9b14-f1a86c985473,2026-03-31 17:02:18.830828
Coal Agreements,Accords relatifs au charbon,Government of Alberta | Gouvernement de l'Alberta,43247aaf-4560-4e79-b6e7-f2052081b5ba,2026-03-24 19:31:08.114071
Wetlands,Milieux humides,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,199dd9e3-320a-4dd9-a2cc-9163938b8ff1,2026-03-18 18:01:10.225871
Residential projects,Projets résidentiels,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,fd474040-511a-46b1-9c2c-ca7665969f69,2026-03-18 18:01:07.358861
Stream Connectivity Indicator for Alberta,Indicateur de connectivité des cours d'eau pour l'Alberta,Government of Alberta | Gouvernement de l'Alberta,557f2170-ffa5-462e-b653-af18f001a60f,2026-03-18 14:00:55.462122
Drought Monitoring,Surveillance de la sécheresse,Government of Manitoba | Gouvernement du Manitoba,b4e91d82-591d-7565-58b4-2f9a1144024b,2026-03-18 11:31:05.014768
Manitoba Provincial Waterways Story Map,Carte récit des voies navigables provinciales du Manitoba,Government of Manitoba | Gouvernement du Manitoba,df1a7c99-1c1d-d715-6679-7a24d7d390c5,2026-03-18 11:31:02.237289
MASC and Mb Agriculture Service Centers/Mb and MASC Agriculture Service Centers,MASC and Mb Agriculture Service Centres / Centres de services d’Agriculture Mb et MASC,Government of Manitoba | Gouvernement du Manitoba,3c44c372-be38-0ecf-cbdd-d7b0de139063,2026-03-18 11:30:59.471418
Manitoba Road Network 2023,Réseau routier du Manitoba 2023,Government of Manitoba | Gouvernement du Manitoba,f061b5e6-6b5d-d417-18b2-d40b8e8cb889,2026-03-18 11:30:56.616131
Caribou Sub-Regional Plan Boundaries,Limites du plan sous-régional Caribou,Government of Alberta | Gouvernement de l'Alberta,31a045ef-6e05-4b97-b669-9b6f3154f85c,2026-03-11 20:30:50.888299
