serviceId,censusCode,censusMinPercentage,censusMinPopulation,censusTotalPopulation,cmaCensusName,countryId,csdCensusName,demoTypeId,groupId,groupName,institutionCode,isSelfDesignated,langObligationId,measureDemandEnglish,measureDemandFrench,measureDemandPercentage,officeNumber,phoneAreaCode,phoneCountryCode,phoneNumber,programsInfo,provision,saMinorityPercentage,saMinorityPopulation,saTotalPopulation,telephone,volume,address_en,address_fr,clientele_en,clientele_fr,institutionName_en,institutionName_fr,langObligation_en,langObligation_fr,locality_en,locality_fr,region_en,region_fr,serviceLevel_en,serviceLevel_fr,serviceName_en,serviceName_fr,serviceStatus_en,serviceStatus_fr,serviceType_en,serviceType_fr
10004,,,,,-,,-,,,,ICA,False,1,100.0,0.0,,10004,204,1,578-6670,,5-1-h.1,,1035,50255,204578-6670,-,"2701 GRAND VALLEY ROAD, BRANDON","2701 ROUTE GRAND VALLEY, BRANDON",The general public,Le grand public,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Bilingual,bilingue,Brandon,Brandon,MB,MB,Non-key service,Un service non-clé,Local Office 10004 ,Bureau local 10004 ,Active,Actif,A local office or facility,Bureau local
10006,,,,,-,,-,,,,ICA,False,1,0.0,0.0,,10006,204,1,622-4086,,5-1-h.1,,955,33600,204622-4086,-,"302 Main Street South, Dauphin","302, rue Main sud, Dauphin",The general public,Le grand public,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Bilingual,bilingue,Dauphin,Dauphin,MB,MB,Non-key service,Un service non-clé,Local Office 10006,Bureau local 10006,Active,Actif,A local office or facility,Bureau local
10012,,,,,-,,-,,,,ICA,False,1,0.0,0.0,,10012,204,1,259-1400,,5-1-a,,0,0,204259-1400,-,"990 Taylor Avenue, Winnipeg","990 Avenue Taylor, Winnipeg",The general public,Le grand public,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10012 Regional Office,Bureau local 10012 Bureau régional,Active,Actif,A local office or facility,Bureau local
10023,,,,,-,,-,,,,AGR,False,1,0.0,0.0,,10023,866,1,367-8506,,5-1-a,,0,0,866367-8506,-,"303 MAIN STREET, (FL 5, ROOM 500)","303 RUE MAIN, (5E ÉTAGE, SALLE 500)",The general public,Le grand public,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10023,Bureau local 10023,Active,Actif,A local office or facility,Bureau local
10025,,,,,-,,-,,,,AGR,False,1,0.0,0.0,,10025,204,1,578-6500,,5-1-h.1,,1350,56095,204578-6500,-,2701 GRAND VALLEY ROAD,2701 CH GRAND VALLEY,The general public,Le grand public,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Bilingual,bilingue,Brandon,Brandon,MB,MB,Non-key service,Un service non-clé,Local Office 10025,Bureau local 10025,Active,Actif,A local office or facility,Bureau local
10041,,,,,-,,-,,,,CBC,False,1,0.0,0.0,,10041,204,1,7883222,,5-1-a,,0,0,2047883222,-,541 PORTAGE AVENUE,541 AV PORTAGE,The general public,Le grand public,Canadian Broadcasting Corporation,Société Radio-Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10041 English and French Radio and Television,Bureau local 10041 Radio et Télévision françaises et anglaises,Active,Actif,A local office or facility,Bureau local
10045,,,,,-,,-,,,,CGC,False,1,0.0,0.0,,10045,800,1,853-6705,,22,,0,0,800853-6705,-,303 MAIN STREET,303 RUE MAIN,The general public,Le grand public,Canadian Grain Commission,Commission canadienne des grains,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Canadian Grain Commission,Commission canadienne des grains,Active,Actif,Head Office,Siège social
10052,,,,,-,,-,,,,COL,False,1,0.0,0.0,,10052,877,1,996-6368,,24,,0,0,877996-6368,-,303 MAIN STREET,303 RUE MAIN,The general public,Le grand public,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Institution reporting to Parliament 10052,Institution se rapporte au Parlement 10052,Active,Actif,Reports to Parliament,Relève directement du Parlement
10055,,,,,-,,-,,,,DUS,False,1,0.0,0.0,,10055,000,1,000-0000,,5-1-a,,0,0,000000-0000,-,400 ST MARY AVENUE,400 AV ST MARY,The general public,Le grand public,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Bankruptcy 1-877-376-9902 (all regions) / Spectrum 1-800-665-3421  (for Winnipeg Manitoba only) / Measurement Canada 1-204-983-3804 ,Faillites 1-877-376-9902 (Toutes les régions) / Spectre 1-800-665-3421 (pour Winnipeg Manitoba seulement) / Mesures Canada 1-204-983-3804 ,Active,Actif,A local office or facility,Bureau local
10061,,,,,-,,-,,,,PEN,False,1,0.0,0.0,,10061,204,1,344-5111,,5-1-h.1,,41570,840165,204344-5111,-,HIGHWAY 7,AUTOROUTE 7,The general public,Le grand public,Correctional Service Canada,Service correctionnel Canada,Bilingual,bilingue,Stony Mountain,Stony Mountain,MB,MB,Non-key service,Un service non-clé,Local Office 10061 Stony Mountain Institution,Bureau local 10061 Établissement Stony Mountain,Active,Actif,A local office or facility,Bureau local
10071,,,,,-,,-,,,,CSD,False,1,0.0,0.0,,10071,800,1,622-6232,,5-1-l,,0,0,800622-6232,-,1530-12TH STREET,1530 12TH STREET,The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,Bilingual,bilingue,Brandon,Brandon,MB,MB,Key service,Un service-clé,Service Canada Centre - Brandon (4162),Centre Service Canada - Brandon (4162),Active,Actif,A local office or facility,Bureau local
10073,,,,,-,,-,,,,CSD,False,2,0.0,0.0,,10073,800,1,622-6232,,5-1-h-i,,95,6935,800622-6232,-,111 MAIN STREET,111 RUE MAIN,The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,Flin Flon,Flin Flon,MB,MB,Key service,Un service-clé,Service Canada Centre - Flin Flon (4235),Centre Service Canada - Flin Flon (4235),Active,Actif,A local office or facility,Bureau local
10076,,,,,-,,-,,,,CSD,True,2,0.0,0.0,,10076,800,1,622-6232,,5-1-h-i,,835,56070,800622-6232,-,158 STEPHEN STREET,"158, RUE STEPHEN",The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,Morden,Morden,MB,MB,Key service,Un service-clé,Service Canada Centre - Morden (4113),Centre Service Canada - Morden (4113),Active,Actif,A local office or facility,Bureau local
10078,,,,,-,,-,,,,CSD,False,1,0.0,0.0,,10078,800,1,622-6232,,5-1-h.1,,1780,39915,800622-6232,-,"1016 SASKATCHEWAN AVE EAST, UNIT 2","1016 AV SASKATCHEWAN EST, UNIT  2",The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,Bilingual,bilingue,Portage La Prairie,Portage La Prairie,MB,MB,Key service,Un service-clé,Service Canada Centre - Portage la Prairie (4114),Centre Service Canada - Portage la Prairie (4114),Active,Actif,A local office or facility,Bureau local
10079,,,,,-,,-,,,,CSD,False,2,0.0,0.0,,10079,800,1,622-6232,,5-1-h-i,,795,37850,800622-6232,-,22 MAIN STREET,22 RUE MAIN,The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,Selkirk,Selkirk,MB,MB,Key service,Un service-clé,Service Canada Centre - Selkirk (4234),Centre Service Canada - Selkirk (4234),Active,Actif,A local office or facility,Bureau local
10080,,,,,-,,-,,,,CSD,False,1,0.0,0.0,,10080,800,1,622-6232,,5-1-h.1,,5575,55015,800622-6232,-,"2 PROVINCIAL TRUNCH HIGHWAY 12, UNIT 1","2 AUTOROUTE PROVINCIALE TRUNK 12, UNITÉ 1",The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,Bilingual,bilingue,Steinbach,Steinbach,MB,MB,Key service,Un service-clé,Service Canada Centre - Steinbach (4233),Centre Service Canada - Steinbach (4233),Active,Actif,A local office or facility,Bureau local
10082,,,,,-,,-,,,,CSD,False,2,0.0,0.0,,10082,800,1,622-6232,,5-1-h-i,,235,12175,800622-6232,-,333 EDWARDS AVENUE,333 AV EDWARDS,The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,The Pas,The Pas,MB,MB,Key service,Un service-clé,Service Canada Centre - The Pas (4209),Centre Service Canada - The Pas (4209),Active,Actif,A local office or facility,Bureau local
10087,,,,,-,,-,,166.0,CSD-KEYSRVC-LCLPUB-WINNIPEG-166,CSD,False,2,0.0,0.0,,10087,800,1,622-6232,,5-1-b,,0,0,800622-6232,-,2599 MAIN STREET,2599 RUE MAIN,The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,Winnipeg,Winnipeg,MB,MB,Key service,Un service-clé,Service Canada Centre - Winnipeg Rivergrove (4117),Centre Service Canada - Winnipeg Rivergrove (4117),Active,Actif,A local office or facility,Bureau local
10088,,,,,-,,-,,166.0,CSD-KEYSRVC-LCLPUB-WINNIPEG-166,CSD,True,2,0.0,0.0,,10088,800,1,622-6232,,5-1-b,,0,0,800622-6232,-,122-393 PORTAGE AVENUE,"122-393, AVENUE PORTAGE",The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,Winnipeg,Winnipeg,MB,MB,Key service,Un service-clé,Service Canada Centre - Winnipeg Portage Place (4123),Centre Service Canada - Winnipeg Portage Place (4123),Active,Actif,A local office or facility,Bureau local
10089,,,,,-,,-,,166.0,CSD-KEYSRVC-LCLPUB-WINNIPEG-166,CSD,False,2,0.0,0.0,,10089,800,1,622-6232,,5-1-b,,0,0,800622-6232,-,"3393 PORTAGE AVENUE, UNIT 140","3393 AV PORTAGE, UNIT  140",The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,English,anglais,Winnipeg,Winnipeg,MB,MB,Key service,Un service-clé,Service Canada Centre - Winnipeg Crestview (4122),Centre Service Canada - Winnipeg Crestview (4122),Active,Actif,A local office or facility,Bureau local
